timestamp,asset,open,high,low,close,volume,spread,num_trades,onchain_tx_count,sentiment,exchange_net_flow,returns_1h,rolling_vol_24h,rolling_vol_7d,future_return_1h,future_return_24h
2023-09-11 09:00:00,ADA,0.879548,0.880720,0.877064,0.879548,57029449.471952,0.000488,97606.020762,39042,0.617655,0.000000,,,,0.003999,0.010736
2023-09-11 10:00:00,ADA,0.879548,0.884898,0.877859,0.883065,57842441.681865,0.000576,102197.392312,41696,0.548247,-344420.747475,0.003999,,,0.009921,0.006438
2023-09-11 11:00:00,ADA,0.883065,0.893341,0.882340,0.891826,61024969.996132,0.000585,118398.566289,49708,0.425128,7494836.202740,0.009921,,,-0.001986,-0.012578
2023-09-11 12:00:00,ADA,0.891826,0.894654,0.889495,0.890054,42584523.301967,0.000500,87911.581387,35513,0.436492,3225384.626865,-0.001986,,,-0.006453,-0.015136
2023-09-11 13:00:00,ADA,0.890054,0.892255,0.882007,0.884310,60785143.896533,0.000471,132982.615289,54909,0.555826,-8554657.888895,-0.006453,,,-0.008550,-0.020450
2023-09-11 14:00:00,ADA,0.884310,0.884700,0.873699,0.876750,39550646.487072,0.000514,87562.030198,36522,0.324226,4429010.891574,-0.008550,,,0.011564,-0.011996
2023-09-11 15:00:00,ADA,0.876750,0.891065,0.873967,0.886888,70250407.651666,0.000732,157264.122839,66542,0.681556,-2401205.051702,0.011564,,,-0.001975,-0.041722
2023-09-11 16:00:00,ADA,0.886888,0.888423,0.881306,0.885137,57060000.384813,0.000620,99961.221396,40379,0.454900,3668705.210041,-0.001975,,,0.007250,-0.029782
2023-09-11 17:00:00,ADA,0.885137,0.892419,0.882577,0.891554,50473349.357625,0.000668,101874.852887,42227,0.433800,7392088.357010,0.007250,,,-0.006270,-0.047219
2023-09-11 18:00:00,ADA,0.891554,0.895949,0.885810,0.885964,39025678.955008,0.000543,65877.243457,27176,0.408775,5568392.933777,-0.006270,,,0.008432,-0.045381
2023-09-11 19:00:00,ADA,0.885964,0.896927,0.882388,0.893435,62542854.077913,0.000588,123358.860128,51423,0.398067,-8736432.229837,0.008432,,,0.007847,-0.064613
2023-09-11 20:00:00,ADA,0.893435,0.904406,0.889542,0.900446,67840564.868400,0.000491,149024.179184,61948,0.751502,-3497426.619974,0.007847,,,-0.001522,-0.066459
2023-09-11 21:00:00,ADA,0.900446,0.903307,0.895575,0.899076,65568653.445235,0.000424,108893.344047,43888,0.575572,26698.999765,-0.001522,,,-0.003707,-0.066225
2023-09-11 22:00:00,ADA,0.899076,0.899173,0.893649,0.895743,58160448.036758,0.000607,114792.590128,46768,0.654093,8447689.190209,-0.003707,,,-0.001564,-0.053367
2023-09-11 23:00:00,ADA,0.895743,0.899921,0.890330,0.894342,57780105.922883,0.000493,127344.352759,51336,0.663554,-709260.318153,-0.001564,,,-0.009228,-0.053730
2023-09-12 00:00:00,ADA,0.894342,0.898316,0.882646,0.886089,72617223.743036,0.000629,130059.714364,54424,0.514665,13010231.198054,-0.009228,,,0.005194,-0.044580
2023-09-12 01:00:00,ADA,0.886089,0.891520,0.881840,0.890691,46469659.689935,0.000631,90249.717894,37037,0.559861,2143583.334432,0.005194,,,0.017859,-0.051802
2023-09-12 02:00:00,ADA,0.890691,0.910599,0.886548,0.906597,49444553.332011,0.000596,82828.052337,36089,0.532178,-601673.354771,0.017859,,,0.011399,-0.071406
